count haswon operator
91302 0 SWAT-THERMITE
30859 1 BOPE-CAPITAO
93958 1 BOPE-CAVEIRA
71724 1 G.E.O.-JACKAL
58734 1 G.E.O.-MIRA
54815 1 GIGN-DOC
37496 1 GIGN-MONTAGNE
3213 1 GIGN-RESERVE
66976 1 GIGN-ROOK
101395 1 GIGN-TWITCH
105689 1 GSG9-BANDIT
17175 1 GSG9-BLITZ
29161 1 GSG9-IQ
140307 1 GSG9-JAGER
12655 1 GSG9-RESERVE
45742 1 JTF2-BUCK
70835 1 JTF2-FROST
35873 1 NAVYSEAL-BLACKBEARD
86586 1 NAVYSEAL-VALKYRIE
71571 1 SAS-MUTE
7302 1 SAS-RESERVE
78767 1 SAS-SLEDGE
71090 1 SAS-SMOKE
60137 1 SAS-THATCHER
22993 1 SAT-ECHO
99069 1 SAT-HIBANA
81943 1 SPETSNAZ-FUZE
89555 1 SPETSNAZ-GLAZ
41101 1 SPETSNAZ-KAPKAN
3082 1 SPETSNAZ-RESERVE
7230 1 SPETSNAZ-TACHANKA
129965 1 SWAT-ASH
37469 1 SWAT-CASTLE
68858 1 SWAT-PULSE
3976 1 SWAT-RESERVE
97503 1 SWAT-THERMITE
28879 0 BOPE-CAPITAO
85646 0 BOPE-CAVEIRA
62535 0 G.E.O.-JACKAL
56108 0 G.E.O.-MIRA
51947 0 GIGN-DOC
36084 0 GIGN-MONTAGNE
3861 0 GIGN-RESERVE
57109 0 GIGN-ROOK
91835 0 GIGN-TWITCH
105175 0 GSG9-BANDIT
17108 0 GSG9-BLITZ
28799 0 GSG9-IQ
134802 0 GSG9-JAGER
13905 0 GSG9-RESERVE
55125 0 JTF2-BUCK
73096 0 JTF2-FROST
35775 0 NAVYSEAL-BLACKBEARD
82288 0 NAVYSEAL-VALKYRIE
68225 0 SAS-MUTE
8505 0 SAS-RESERVE
75690 0 SAS-SLEDGE
69252 0 SAS-SMOKE
57454 0 SAS-THATCHER
23242 0 SAT-ECHO
97403 0 SAT-HIBANA
77312 0 SPETSNAZ-FUZE
87569 0 SPETSNAZ-GLAZ
40203 0 SPETSNAZ-KAPKAN
3484 0 SPETSNAZ-RESERVE
7803 0 SPETSNAZ-TACHANKA
126395 0 SWAT-ASH
37222 0 SWAT-CASTLE
70408 0 SWAT-PULSE
4475 0 SWAT-RESERVE
91118 0 SWAT-THERMITE
29044 1 BOPE-CAPITAO
90778 1 BOPE-CAVEIRA
63966 1 G.E.O.-JACKAL
57665 1 G.E.O.-MIRA
52543 1 GIGN-DOC
33358 1 GIGN-MONTAGNE
3218 1 GIGN-RESERVE
64954 1 GIGN-ROOK
97068 1 GIGN-TWITCH
110511 1 GSG9-BANDIT
16070 1 GSG9-BLITZ
29177 1 GSG9-IQ
143643 1 GSG9-JAGER
12535 1 GSG9-RESERVE
55173 1 JTF2-BUCK
84695 1 JTF2-FROST
36421 1 NAVYSEAL-BLACKBEARD
88304 1 NAVYSEAL-VALKYRIE
70538 1 SAS-MUTE
7263 1 SAS-RESERVE
77612 1 SAS-SLEDGE
69604 1 SAS-SMOKE
58926 1 SAS-THATCHER
25634 1 SAT-ECHO
100877 1 SAT-HIBANA
77891 1 SPETSNAZ-FUZE
89285 1 SPETSNAZ-GLAZ
40309 1 SPETSNAZ-KAPKAN
3015 1 SPETSNAZ-RESERVE
6903 1 SPETSNAZ-TACHANKA
131618 1 SWAT-ASH
36617 1 SWAT-CASTLE
70741 1 SWAT-PULSE
3997 1 SWAT-RESERVE
94210 1 SWAT-THERMITE
28997 0 BOPE-CAPITAO
87548 0 BOPE-CAVEIRA
